anio,mes,dia,estacion,valor
2017, 8, 28, 2, 82.28
2017, 8, 28, 3, 105.31
2017, 8, 28, 4, 116.36
2017, 8, 28, 5, 83.2
2017, 8, 28, 6, 42.06
2017, 8, 28, 7, 111.14
2017, 8, 28, 8, 198.64
2017, 8, 28, 9, 58.64
2017, 8, 28, 10, 100.39
2017, 8, 28, 11, 56.8
2017, 8, 28, 12, 226.42
2017, 8, 28, 13, 116.1
2017, 8, 28, 14, 65.7
2017, 8, 28, 15, 181.75
2017, 8, 28, 16, 73.38
2017, 8, 28, 17, 84.74
2017, 9, 4, 2, 8.6
2017, 9, 4, 3, 15.35
2017, 9, 4, 4, 60.79
2017, 9, 4, 5, 22.72
2017, 9, 4, 6, 6.75
2017, 9, 4, 7, 60.79
2017, 9, 4, 8, 24.56
2017, 9, 4, 10, 68.16
2017, 9, 4, 11, 24.87
2017, 9, 4, 12, 20.57
2017, 9, 4, 13, 119.1
2017, 9, 4, 14, 31.01
2017, 9, 4, 15, 26.4
2017, 9, 4, 16, 8.9
2017, 9, 4, 17, 13.82
2017, 9, 11, 2, 50.96
2017, 9, 11, 3, 11.97
2017, 9, 11, 4, 38.68
2017, 9, 11, 5, 25.48
2017, 9, 11, 6, 52.81
2017, 9, 11, 7, 11.51
2017, 9, 11, 8, 41.5
2017, 9, 11, 9, 57.1
2017, 9, 11, 10, 10.28
2017, 9, 11, 11, 2.15
2017, 9, 11, 12, 54.03
2017, 9, 11, 13, 14.43
2017, 9, 11, 14, 1.84
2017, 9, 11, 15, 40.53
2017, 9, 11, 16, 11.36
2017, 9, 11, 17, 23.64
2017, 9, 18, 2, 10.13
2017, 9, 18, 3, 8.29
2017, 9, 18, 4, 27.32
2017, 9, 18, 5, 21.6
2017, 9, 18, 6, 38.07
2017, 9, 18, 7, 9.06
2017, 9, 18, 8, 21.2
2017, 9, 18, 9, 34.08
2017, 9, 18, 10, 17.5
2017, 9, 18, 11, 26.5
2017, 9, 18, 12, 72.45
2017, 9, 18, 13, 16.27
2017, 9, 18, 14, 3.84
2017, 9, 18, 15, 58.95
2017, 9, 18, 16, 10.8
2017, 9, 18, 17, 25.79
2017, 9, 25, 2, 53.73
2017, 9, 25, 3, 23.33
2017, 9, 25, 4, 47.59
2017, 9, 25, 5, 41.1
2017, 9, 25, 6, 14.12
2017, 9, 25, 7, 15.66
2017, 9, 25, 8, 109.0
2017, 9, 25, 9, 13.97
2017, 9, 25, 10, 43.75
2017, 9, 25, 11, 21.5
2017, 9, 25, 12, 78.9
2017, 9, 25, 13, 85.66
