predictedValue,RealValue,ErrorPercent
'11.803699063189583','30.2','60.9149037642729'
'12.206362177846927','52.8','76.88188981468384'
'12.876323321349787','57.7','77.68401504098824'
'13.748398608066168','15.7','12.430582114228224'
'14.747283162334611','13.1','12.574680628508483'
'15.788972551425445','57.5','72.54091730186879'
'16.782354839182403','65.1','74.22065308881352'
'17.63094086274816','15.8','11.588233308532663'
'18.234697451610373','67.3','72.90535296937537'
'18.4919462867407','15.4','20.07757329052402'
'18.3012899391141','57.1','67.94870413465132'
'22.23869409316376','12.2','82.2843778128177'
'20.05339888356673','22.1','9.260638535897161'
'19.429191749366282','26.4','26.4045767069459'
'19.11016390202201','28.0','31.74941463563568'
'19.075194676749902','35.6','46.417992481039605'
'19.29090771732274','35.3','45.35153621155031'
'19.712269058569063','25.9','23.890853055717898'
'20.28342003524358','21.8','6.956788829157892'
'20.938728757441822','5.7','267.3461185516109'
'21.604039089564935','19.1','13.110152301387087'
'22.19809177172351','41.8','46.89451729252748'
'22.634088596606944','11.1','103.91070807754004'
'22.821367537417245','36.2','36.957548239178884'
'22.667154426555044','2.9','681.6260147087947'
'22.078355330862678','34.1','35.25408993881913'
'2.7655932589389067','9.9','72.06471455617266'
'3.3793287911314565','2.0','68.96643955657282'
'4.6049377712599835','0.6','667.4896285433307'
'5.3587748170712075','0.2','2579.3874085356033'
'6.140704617167216','9.2','33.25321068296503'
'6.8910325145971','15.5','55.541725712276765'
'8.02486211146902','11.7','31.41143494470923'
'8.25962085321828','5.8','42.407256089970346'
